# Core dependencies
radon>=5.1.0              # Code complexity analysis
markdown>=3.4.0           # Markdown parsing
jinja2>=3.1.0            # Template engine
fpdf2>=2.7.0             # PDF generation
beautifulsoup4>=4.12.0   # HTML parsing
pyyaml>=6.0              # YAML parsing
toml>=0.10.2             # TOML parsing

# Static analysis tools
pylint>=2.17.0           # Python linting
mypy>=1.5.0              # Python type checking
bandit>=1.7.0            # Python security analysis
safety>=2.3.0            # Dependency vulnerability checking

# Testing tools
pytest>=7.4.0            # Python testing framework
pytest-json-report>=1.5.0 # JSON test reporting
coverage>=7.3.0          # Code coverage

# Optional verification tools (install separately based on language needs)
# crosshair-tool>=0.0.50   # Python contract verification
# hypothesis>=6.82.0       # Property-based testing

# Development dependencies
black>=23.7.0            # Code formatting
isort>=5.12.0            # Import sorting
flake8>=6.1.0            # Style guide enforcement
